Name,Notes,City,State,Contact,Schedule,Address,Phone
Academy Eden Prairie,1-Jan-24,Eden Prairie,MN,Hayden Buckner,? 5-7pm no gi,"7116 Shady Oak Rd, Eden Prairie, MN 55344",952-377-8111
Academy Plymouth,15-Feb-24,Plymouth,MN,,,"13605 27th Ave N, Plymouth, MN 55441",763-244-6122
Academy St. Paul Brazilian Jiujitsu Academy,,St Paul,MN,Brandon Bergeron,? No schedule,"322 Chester St, St Paul, MN 55107",651-600-6889
Academy Brooklyn Center,,Brooklyn Center,MN,Greg Nelson,? Not Listed ?,"6840 Shingle Creek Pkwy Ste #24, Brooklyn Center, MN 55430",763-560-5896
Academy Burnsville,,Burnsville,MN,Justin Kratzke,,"11921 Portland ave, Burnsville, MN 55337",763-250-4640
Academy Elk River,,Elk River,MN,Adam Ahern,? Not Listed ?,"17375 US-10, Elk River, MN 55330",763-691-8996
Alliance Jiujitsu,,Edina,MN,Damian Hertz,? Not Listed ?,"7887 Bush Lake Rd #2, Edina, MN 55439",952-942-1190
Alliance BJJ St. Croix,10-Feb-24,St. Croix,WI,Brian Olson,Sat 1045 - 1200 noon,"2801 Harvey St, Hudson, WI 54016",715-629-0114
Aikido Ryodokai of Minnesota,Aikido,Bloomington,MN,Topher,Sunday 10 am - 1 pm,"9061 Lyndale Ave S, Bloomington, MN 55420",612-812-6257
Akagi Jiujitsu,Sundays,Prior Lake,MN,,Friday /15,"14869 State Hwy 13, Prior Lake, MN 55372",952-440-5222
American Top Team,,Duluth,MN,Cris Johnson,"th-830, Sat 11 am open mat","228 1/2 N. Central Ave, Duluth, MN 55807",218-269-2558
Apex Jiujitsu,,Medina,MN,,,"825 Meander, Medina, MN 55340",612-953-3206
Atheneum Martial Arts,,Medina,MN,,,,
Black Arrow,,Brainerd,MN,,,"655 Fairview Ave N, Suite 260, St. Paul, MN 55104",651-274-3077
Bellum Brazilian Jiujitsu,2.12.2025,St Paul,MN,Derek Barlow,Sat 8 - 10 am,"1362 La Salle Ave, Minneapolis, MN 55403",612-345-4147
Checkmat S Mpls Brazilian Jiujitsu (Danger Room),,Minneapolis,MN,Lemmy,,,,715-529-0361
Club 37 Jiujitsu,17-May-25,Eau Claire,WI,Nick,,"4224 Shoreline Dr, Minneapolis, MN 55422",612-208-2433
Crazy Monkey Twin Cities,House,,,,,,
Defiant Jiu-Jitsu,,Woodbury,MN,David Soto,Sat 12 - 2,"403 St 8th Ave, Minneapolis, MN 55414",612-521-5836
DNA Jiujitsu,6-Jan-24,Minneapolis,MN,Dr. Greg J. Olson (DOC),Sat 1 - 3 ? BJJ,"3315 N Penn Ave, Minneapolis, MN 55411",612-591-1832
DOCS Gym,,Minneapolis,MN,Michael Padros,Sat 1230 - 230 PM adult class,"900 Ocean St, St Paul, MN 55106",218-269-0958
Doomsday BJJ/Sambo,,Duluth,MN,Dustin Lee Hjelle,None Listed? Sat No Gi,"230 E Superior St, Duluth, MN 55802",507-459-7794
Drengr Jiujitsu,,Winona,MN,Noah Hauser,Sunday 3-5 pm,"168 E 3rd St, Winona, MN 55987",
,,,,,,,
Flow Jiujitsu,,La Crosse,WI,,,"707 Commerce Dr, Woodbury, MN 55125",651-501-1023
"Grace Jiujitsu Woodbury ""Excel Martial Arts"" ATA",,Woodbury,MN,,Sun 10 am Marathon BJJ,"2015 Ford Pkwy, St. Paul, MN 55116",612-356-2408
Grappler Station,,St. Paul,MN,"Sensei Max, Sensei Carl",Sun 10 am Marathon BJJ,"2015 Ford Pkwy, St. Paul, MN 55116",612-356-2408
Great Lakes Combatives,Jul 25,Willmar,MN,"Trevor Haney, Daniel Zwilling",Saturday 930 - 1100,"1605 1st St South A01-02, Willmar, MN 56201",320-894-2990
